2026-04-08 22:26:40,212 | INFO | Rewiring complete | nodes=42 | edges 81->89 (+8) | density 0.0941->0.1034 | avg_degree 3.86->4.24
2026-04-08 22:44:27,099 | INFO | Rewiring complete | nodes=34 | edges 61->67 (+6) | density 0.1087->0.1194 | avg_degree 3.59->3.94
2026-04-08 22:44:35,828 | INFO | Rewiring complete | nodes=19 | edges 38->43 (+5) | density 0.2222->0.2515 | avg_degree 4.00->4.53
2026-04-08 22:44:52,761 | INFO | Rewiring complete | nodes=43 | edges 96->105 (+9) | density 0.1063->0.1163 | avg_degree 4.47->4.88
2026-04-08 22:45:01,973 | INFO | Rewiring complete | nodes=20 | edges 37->42 (+5) | density 0.1947->0.2211 | avg_degree 3.70->4.20
2026-04-08 22:45:13,287 | INFO | Rewiring complete | nodes=23 | edges 40->45 (+5) | density 0.1581->0.1779 | avg_degree 3.48->3.91
2026-04-08 22:45:28,060 | INFO | Rewiring complete | nodes=28 | edges 53->58 (+5) | density 0.1402->0.1534 | avg_degree 3.79->4.14
2026-04-08 22:46:02,444 | INFO | Rewiring complete | nodes=122 | edges 233->256 (+23) | density 0.0316->0.0347 | avg_degree 3.82->4.20
2026-04-08 22:46:14,675 | INFO | Rewiring complete | nodes=22 | edges 45->50 (+5) | density 0.1948->0.2165 | avg_degree 4.09->4.55
2026-04-08 22:46:39,426 | INFO | Rewiring complete | nodes=70 | edges 152->167 (+15) | density 0.0629->0.0692 | avg_degree 4.34->4.77
2026-04-08 22:47:03,415 | INFO | Rewiring complete | nodes=50 | edges 88->96 (+8) | density 0.0718->0.0784 | avg_degree 3.52->3.84
2026-04-08 22:47:16,039 | INFO | Rewiring complete | nodes=10 | edges 19->24 (+5) | density 0.4222->0.5333 | avg_degree 3.80->4.80
2026-04-08 22:47:33,227 | INFO | Rewiring complete | nodes=27 | edges 59->64 (+5) | density 0.1681->0.1823 | avg_degree 4.37->4.74
2026-04-08 22:47:43,393 | INFO | Rewiring complete | nodes=26 | edges 45->50 (+5) | density 0.1385->0.1538 | avg_degree 3.46->3.85
2026-04-08 22:47:56,651 | INFO | Rewiring complete | nodes=41 | edges 74->81 (+7) | density 0.0902->0.0988 | avg_degree 3.61->3.95
2026-04-08 22:48:06,443 | INFO | Rewiring complete | nodes=19 | edges 36->41 (+5) | density 0.2105->0.2398 | avg_degree 3.79->4.32
2026-04-08 22:48:20,472 | INFO | Rewiring complete | nodes=22 | edges 55->60 (+5) | density 0.2381->0.2597 | avg_degree 5.00->5.45
2026-04-08 22:48:47,229 | INFO | Rewiring complete | nodes=72 | edges 150->165 (+15) | density 0.0587->0.0646 | avg_degree 4.17->4.58
2026-04-08 22:49:09,826 | INFO | Rewiring complete | nodes=76 | edges 120->132 (+12) | density 0.0421->0.0463 | avg_degree 3.16->3.47
2026-04-08 22:49:17,980 | INFO | Rewiring complete | nodes=6 | edges 11->15 (+4) | density 0.7333->1.0000 | avg_degree 3.67->5.00
2026-04-08 22:49:54,353 | INFO | Rewiring complete | nodes=620 | edges 1049->1153 (+104) | density 0.0055->0.0060 | avg_degree 3.38->3.72
2026-04-08 22:50:16,730 | INFO | Rewiring complete | nodes=59 | edges 106->116 (+10) | density 0.0620->0.0678 | avg_degree 3.59->3.93
2026-04-08 22:50:35,416 | INFO | Rewiring complete | nodes=38 | edges 89->97 (+8) | density 0.1266->0.1380 | avg_degree 4.68->5.11
2026-04-08 22:50:51,433 | INFO | Rewiring complete | nodes=23 | edges 39->44 (+5) | density 0.1542->0.1739 | avg_degree 3.39->3.83
2026-04-08 22:51:01,800 | INFO | Rewiring complete | nodes=21 | edges 38->43 (+5) | density 0.1810->0.2048 | avg_degree 3.62->4.10
2026-04-08 22:51:12,790 | INFO | Rewiring complete | nodes=23 | edges 44->49 (+5) | density 0.1739->0.1937 | avg_degree 3.83->4.26
2026-04-08 22:51:27,979 | INFO | Rewiring complete | nodes=31 | edges 52->57 (+5) | density 0.1118->0.1226 | avg_degree 3.35->3.68
2026-04-08 22:51:44,566 | INFO | Rewiring complete | nodes=16 | edges 38->43 (+5) | density 0.3167->0.3583 | avg_degree 4.75->5.38
2026-04-08 22:52:01,238 | INFO | Rewiring complete | nodes=23 | edges 53->58 (+5) | density 0.2095->0.2292 | avg_degree 4.61->5.04
2026-04-08 22:52:12,752 | INFO | Rewiring complete | nodes=7 | edges 12->17 (+5) | density 0.5714->0.8095 | avg_degree 3.43->4.86
2026-04-08 22:52:26,945 | INFO | Rewiring complete | nodes=26 | edges 57->62 (+5) | density 0.1754->0.1908 | avg_degree 4.38->4.77
2026-04-08 22:52:43,738 | INFO | Rewiring complete | nodes=38 | edges 77->84 (+7) | density 0.1095->0.1195 | avg_degree 4.05->4.42
2026-04-08 22:52:55,104 | INFO | Rewiring complete | nodes=22 | edges 39->44 (+5) | density 0.1688->0.1905 | avg_degree 3.55->4.00
2026-04-08 22:53:07,775 | INFO | Rewiring complete | nodes=25 | edges 44->49 (+5) | density 0.1467->0.1633 | avg_degree 3.52->3.92
2026-04-08 22:53:45,296 | INFO | Rewiring complete | nodes=170 | edges 323->355 (+32) | density 0.0225->0.0247 | avg_degree 3.80->4.18
2026-04-08 22:54:18,400 | INFO | Rewiring complete | nodes=186 | edges 340->374 (+34) | density 0.0198->0.0217 | avg_degree 3.66->4.02
2026-04-08 22:54:38,021 | INFO | Rewiring complete | nodes=58 | edges 108->118 (+10) | density 0.0653->0.0714 | avg_degree 3.72->4.07
2026-04-08 22:54:49,323 | INFO | Rewiring complete | nodes=14 | edges 28->33 (+5) | density 0.3077->0.3626 | avg_degree 4.00->4.71
2026-04-08 22:54:59,642 | INFO | Rewiring complete | nodes=12 | edges 23->28 (+5) | density 0.3485->0.4242 | avg_degree 3.83->4.67
2026-04-08 22:55:09,396 | INFO | Rewiring complete | nodes=15 | edges 26->31 (+5) | density 0.2476->0.2952 | avg_degree 3.47->4.13
2026-04-08 22:55:31,328 | INFO | Rewiring complete | nodes=60 | edges 128->140 (+12) | density 0.0723->0.0791 | avg_degree 4.27->4.67
2026-04-08 22:55:41,899 | INFO | Rewiring complete | nodes=22 | edges 44->49 (+5) | density 0.1905->0.2121 | avg_degree 4.00->4.45
2026-04-08 22:56:07,329 | INFO | Rewiring complete | nodes=88 | edges 160->176 (+16) | density 0.0418->0.0460 | avg_degree 3.64->4.00
2026-04-08 22:56:25,228 | INFO | Rewiring complete | nodes=33 | edges 78->85 (+7) | density 0.1477->0.1610 | avg_degree 4.73->5.15
2026-04-08 22:56:48,265 | INFO | Rewiring complete | nodes=50 | edges 107->117 (+10) | density 0.0873->0.0955 | avg_degree 4.28->4.68
2026-04-08 22:57:07,403 | INFO | Rewiring complete | nodes=60 | edges 110->121 (+11) | density 0.0621->0.0684 | avg_degree 3.67->4.03
2026-04-08 22:57:26,230 | INFO | Rewiring complete | nodes=54 | edges 113->124 (+11) | density 0.0790->0.0867 | avg_degree 4.19->4.59
2026-04-08 22:57:36,007 | INFO | Rewiring complete | nodes=24 | edges 44->49 (+5) | density 0.1594->0.1775 | avg_degree 3.67->4.08
2026-04-08 22:57:50,142 | INFO | Rewiring complete | nodes=38 | edges 75->82 (+7) | density 0.1067->0.1166 | avg_degree 3.95->4.32
2026-04-08 22:57:58,751 | INFO | Rewiring complete | nodes=11 | edges 21->26 (+5) | density 0.3818->0.4727 | avg_degree 3.82->4.73
2026-04-08 22:58:34,461 | INFO | Rewiring complete | nodes=244 | edges 391->430 (+39) | density 0.0132->0.0145 | avg_degree 3.20->3.52
2026-04-08 22:59:04,087 | INFO | Rewiring complete | nodes=80 | edges 164->180 (+16) | density 0.0519->0.0570 | avg_degree 4.10->4.50
2026-04-08 22:59:19,619 | INFO | Rewiring complete | nodes=22 | edges 50->55 (+5) | density 0.2165->0.2381 | avg_degree 4.55->5.00
2026-04-08 22:59:32,557 | INFO | Rewiring complete | nodes=28 | edges 47->52 (+5) | density 0.1243->0.1376 | avg_degree 3.36->3.71
2026-04-08 22:59:47,980 | INFO | Rewiring complete | nodes=23 | edges 42->47 (+5) | density 0.1660->0.1858 | avg_degree 3.65->4.09
2026-04-08 23:00:23,337 | INFO | Rewiring complete | nodes=113 | edges 195->214 (+19) | density 0.0308->0.0338 | avg_degree 3.45->3.79
2026-04-08 23:00:34,657 | INFO | Rewiring complete | nodes=18 | edges 38->43 (+5) | density 0.2484->0.2810 | avg_degree 4.22->4.78
2026-04-08 23:00:46,403 | INFO | Rewiring complete | nodes=21 | edges 42->47 (+5) | density 0.2000->0.2238 | avg_degree 4.00->4.48
2026-04-08 23:01:02,980 | INFO | Rewiring complete | nodes=37 | edges 72->79 (+7) | density 0.1081->0.1186 | avg_degree 3.89->4.27
2026-04-08 23:01:17,635 | INFO | Rewiring complete | nodes=41 | edges 81->89 (+8) | density 0.0988->0.1085 | avg_degree 3.95->4.34
2026-04-08 23:01:40,419 | INFO | Rewiring complete | nodes=51 | edges 97->106 (+9) | density 0.0761->0.0831 | avg_degree 3.80->4.16
2026-04-08 23:02:00,295 | INFO | Rewiring complete | nodes=34 | edges 71->78 (+7) | density 0.1266->0.1390 | avg_degree 4.18->4.59
2026-04-08 23:02:23,283 | INFO | Rewiring complete | nodes=54 | edges 104->114 (+10) | density 0.0727->0.0797 | avg_degree 3.85->4.22
2026-04-08 23:02:38,910 | INFO | Rewiring complete | nodes=25 | edges 43->48 (+5) | density 0.1433->0.1600 | avg_degree 3.44->3.84
2026-04-08 23:03:00,484 | INFO | Rewiring complete | nodes=32 | edges 60->66 (+6) | density 0.1210->0.1331 | avg_degree 3.75->4.12
2026-04-08 23:03:10,914 | INFO | Rewiring complete | nodes=24 | edges 40->45 (+5) | density 0.1449->0.1630 | avg_degree 3.33->3.75
2026-04-08 23:03:31,135 | INFO | Rewiring complete | nodes=62 | edges 124->136 (+12) | density 0.0656->0.0719 | avg_degree 4.00->4.39
2026-04-08 23:04:07,484 | INFO | Rewiring complete | nodes=156 | edges 254->279 (+25) | density 0.0210->0.0231 | avg_degree 3.26->3.58
2026-04-08 23:04:27,793 | INFO | Rewiring complete | nodes=38 | edges 75->82 (+7) | density 0.1067->0.1166 | avg_degree 3.95->4.32
2026-04-08 23:04:46,092 | INFO | Rewiring complete | nodes=22 | edges 39->44 (+5) | density 0.1688->0.1905 | avg_degree 3.55->4.00
2026-04-08 23:05:00,049 | INFO | Rewiring complete | nodes=19 | edges 36->41 (+5) | density 0.2105->0.2398 | avg_degree 3.79->4.32
2026-04-08 23:05:13,821 | INFO | Rewiring complete | nodes=27 | edges 48->53 (+5) | density 0.1368->0.1510 | avg_degree 3.56->3.93
2026-04-08 23:05:20,425 | INFO | Rewiring complete | nodes=13 | edges 24->29 (+5) | density 0.3077->0.3718 | avg_degree 3.69->4.46
2026-04-08 23:05:34,234 | INFO | Rewiring complete | nodes=55 | edges 101->111 (+10) | density 0.0680->0.0747 | avg_degree 3.67->4.04
2026-04-08 23:05:57,918 | INFO | Rewiring complete | nodes=38 | edges 84->92 (+8) | density 0.1195->0.1309 | avg_degree 4.42->4.84
2026-04-08 23:06:14,612 | INFO | Rewiring complete | nodes=16 | edges 26->31 (+5) | density 0.2167->0.2583 | avg_degree 3.25->3.88
2026-04-08 23:06:29,968 | INFO | Rewiring complete | nodes=20 | edges 33->38 (+5) | density 0.1737->0.2000 | avg_degree 3.30->3.80
2026-04-08 23:06:49,395 | INFO | Rewiring complete | nodes=34 | edges 75->82 (+7) | density 0.1337->0.1462 | avg_degree 4.41->4.82
2026-04-08 23:07:09,226 | INFO | Rewiring complete | nodes=49 | edges 103->113 (+10) | density 0.0876->0.0961 | avg_degree 4.20->4.61
2026-04-08 23:07:33,981 | INFO | Rewiring complete | nodes=54 | edges 115->126 (+11) | density 0.0804->0.0881 | avg_degree 4.26->4.67
2026-04-08 23:07:52,750 | INFO | Rewiring complete | nodes=23 | edges 42->47 (+5) | density 0.1660->0.1858 | avg_degree 3.65->4.09
2026-04-08 23:08:20,721 | INFO | Rewiring complete | nodes=77 | edges 143->157 (+14) | density 0.0489->0.0537 | avg_degree 3.71->4.08
2026-04-08 23:08:45,601 | INFO | Rewiring complete | nodes=69 | edges 125->137 (+12) | density 0.0533->0.0584 | avg_degree 3.62->3.97
2026-04-08 23:09:16,446 | INFO | Rewiring complete | nodes=122 | edges 216->237 (+21) | density 0.0293->0.0321 | avg_degree 3.54->3.89
2026-04-08 23:09:33,933 | INFO | Rewiring complete | nodes=28 | edges 49->54 (+5) | density 0.1296->0.1429 | avg_degree 3.50->3.86
2026-04-08 23:09:54,458 | INFO | Rewiring complete | nodes=51 | edges 95->104 (+9) | density 0.0745->0.0816 | avg_degree 3.73->4.08
2026-04-08 23:10:21,722 | INFO | Rewiring complete | nodes=99 | edges 156->171 (+15) | density 0.0322->0.0353 | avg_degree 3.15->3.45
2026-04-08 23:10:57,410 | INFO | Rewiring complete | nodes=136 | edges 256->281 (+25) | density 0.0279->0.0306 | avg_degree 3.76->4.13
2026-04-08 23:11:14,450 | INFO | Rewiring complete | nodes=30 | edges 56->61 (+5) | density 0.1287->0.1402 | avg_degree 3.73->4.07
2026-04-08 23:11:33,606 | INFO | Rewiring complete | nodes=34 | edges 67->73 (+6) | density 0.1194->0.1301 | avg_degree 3.94->4.29
2026-04-08 23:11:46,365 | INFO | Rewiring complete | nodes=29 | edges 53->58 (+5) | density 0.1305->0.1429 | avg_degree 3.66->4.00
2026-04-08 23:12:07,568 | INFO | Rewiring complete | nodes=45 | edges 97->106 (+9) | density 0.0980->0.1071 | avg_degree 4.31->4.71
2026-04-08 23:12:22,786 | INFO | Rewiring complete | nodes=23 | edges 40->45 (+5) | density 0.1581->0.1779 | avg_degree 3.48->3.91
2026-04-08 23:12:41,807 | INFO | Rewiring complete | nodes=44 | edges 89->97 (+8) | density 0.0941->0.1025 | avg_degree 4.05->4.41
2026-04-08 23:12:58,651 | INFO | Rewiring complete | nodes=18 | edges 31->36 (+5) | density 0.2026->0.2353 | avg_degree 3.44->4.00
2026-04-08 23:13:11,753 | INFO | Rewiring complete | nodes=19 | edges 39->44 (+5) | density 0.2281->0.2573 | avg_degree 4.11->4.63
2026-04-08 23:13:27,787 | INFO | Rewiring complete | nodes=30 | edges 53->58 (+5) | density 0.1218->0.1333 | avg_degree 3.53->3.87
2026-04-08 23:14:03,763 | INFO | Rewiring complete | nodes=126 | edges 232->255 (+23) | density 0.0295->0.0324 | avg_degree 3.68->4.05
2026-04-08 23:14:29,729 | INFO | Rewiring complete | nodes=58 | edges 145->159 (+14) | density 0.0877->0.0962 | avg_degree 5.00->5.48
2026-04-08 23:14:49,452 | INFO | Rewiring complete | nodes=35 | edges 67->73 (+6) | density 0.1126->0.1227 | avg_degree 3.83->4.17
2026-04-08 23:15:13,606 | INFO | Rewiring complete | nodes=54 | edges 112->123 (+11) | density 0.0783->0.0860 | avg_degree 4.15->4.56
2026-04-08 23:15:40,289 | INFO | Rewiring complete | nodes=82 | edges 174->191 (+17) | density 0.0524->0.0575 | avg_degree 4.24->4.66
2026-04-08 23:15:53,197 | INFO | Rewiring complete | nodes=31 | edges 61->67 (+6) | density 0.1312->0.1441 | avg_degree 3.94->4.32
2026-04-08 23:16:10,019 | INFO | Rewiring complete | nodes=48 | edges 78->85 (+7) | density 0.0691->0.0754 | avg_degree 3.25->3.54
2026-04-08 23:16:48,562 | INFO | Rewiring complete | nodes=188 | edges 310->341 (+31) | density 0.0176->0.0194 | avg_degree 3.30->3.63
2026-04-08 23:17:26,572 | INFO | Rewiring complete | nodes=133 | edges 233->256 (+23) | density 0.0265->0.0292 | avg_degree 3.50->3.85
2026-04-08 23:17:43,116 | INFO | Rewiring complete | nodes=40 | edges 80->88 (+8) | density 0.1026->0.1128 | avg_degree 4.00->4.40
2026-04-08 23:18:05,164 | INFO | Rewiring complete | nodes=39 | edges 86->94 (+8) | density 0.1161->0.1269 | avg_degree 4.41->4.82
2026-04-08 23:18:32,665 | INFO | Rewiring complete | nodes=94 | edges 167->183 (+16) | density 0.0382->0.0419 | avg_degree 3.55->3.89
2026-04-08 23:18:49,094 | INFO | Rewiring complete | nodes=35 | edges 59->64 (+5) | density 0.0992->0.1076 | avg_degree 3.37->3.66
2026-04-08 23:19:00,680 | INFO | Rewiring complete | nodes=11 | edges 21->26 (+5) | density 0.3818->0.4727 | avg_degree 3.82->4.73
2026-04-08 23:19:28,474 | INFO | Rewiring complete | nodes=87 | edges 150->165 (+15) | density 0.0401->0.0441 | avg_degree 3.45->3.79
2026-04-08 23:19:46,109 | INFO | Rewiring complete | nodes=16 | edges 28->33 (+5) | density 0.2333->0.2750 | avg_degree 3.50->4.12
2026-04-08 23:20:02,165 | INFO | Rewiring complete | nodes=26 | edges 48->53 (+5) | density 0.1477->0.1631 | avg_degree 3.69->4.08
2026-04-08 23:20:14,264 | INFO | Rewiring complete | nodes=19 | edges 42->47 (+5) | density 0.2456->0.2749 | avg_degree 4.42->4.95
2026-04-08 23:20:40,008 | INFO | Rewiring complete | nodes=75 | edges 153->168 (+15) | density 0.0551->0.0605 | avg_degree 4.08->4.48
2026-04-08 23:20:54,758 | INFO | Rewiring complete | nodes=21 | edges 43->48 (+5) | density 0.2048->0.2286 | avg_degree 4.10->4.57
2026-04-08 23:21:10,745 | INFO | Rewiring complete | nodes=27 | edges 44->49 (+5) | density 0.1254->0.1396 | avg_degree 3.26->3.63
2026-04-08 23:21:41,749 | INFO | Rewiring complete | nodes=80 | edges 126->138 (+12) | density 0.0399->0.0437 | avg_degree 3.15->3.45
2026-04-08 23:21:59,412 | INFO | Rewiring complete | nodes=15 | edges 33->38 (+5) | density 0.3143->0.3619 | avg_degree 4.40->5.07
2026-04-08 23:22:14,458 | INFO | Rewiring complete | nodes=33 | edges 69->75 (+6) | density 0.1307->0.1420 | avg_degree 4.18->4.55
2026-04-08 23:22:49,664 | INFO | Rewiring complete | nodes=152 | edges 263->289 (+26) | density 0.0229->0.0252 | avg_degree 3.46->3.80
2026-04-08 23:23:05,463 | INFO | Rewiring complete | nodes=39 | edges 82->90 (+8) | density 0.1107->0.1215 | avg_degree 4.21->4.62
2026-04-08 23:23:38,266 | INFO | Rewiring complete | nodes=229 | edges 483->531 (+48) | density 0.0185->0.0203 | avg_degree 4.22->4.64
2026-04-08 23:24:13,953 | INFO | Rewiring complete | nodes=124 | edges 255->280 (+25) | density 0.0334->0.0367 | avg_degree 4.11->4.52
2026-04-08 23:24:32,962 | INFO | Rewiring complete | nodes=39 | edges 77->84 (+7) | density 0.1039->0.1134 | avg_degree 3.95->4.31
2026-04-08 23:25:05,120 | INFO | Rewiring complete | nodes=73 | edges 120->132 (+12) | density 0.0457->0.0502 | avg_degree 3.29->3.62
2026-04-08 23:25:30,195 | INFO | Rewiring complete | nodes=76 | edges 149->163 (+14) | density 0.0523->0.0572 | avg_degree 3.92->4.29
2026-04-08 23:25:59,101 | INFO | Rewiring complete | nodes=57 | edges 123->135 (+12) | density 0.0771->0.0846 | avg_degree 4.32->4.74
2026-04-08 23:26:27,935 | INFO | Rewiring complete | nodes=71 | edges 151->166 (+15) | density 0.0608->0.0668 | avg_degree 4.25->4.68
2026-04-08 23:26:45,975 | INFO | Rewiring complete | nodes=36 | edges 66->72 (+6) | density 0.1048->0.1143 | avg_degree 3.67->4.00
2026-04-08 23:26:59,173 | INFO | Rewiring complete | nodes=14 | edges 27->32 (+5) | density 0.2967->0.3516 | avg_degree 3.86->4.57
